Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
1090,890,FerPy,3,FALSE,FALSE,TRUE,300,N,Minute 7 plus.
1091,891,FerPy,1,TRUE,TRUE,TRUE,50,N,Minute 7 plus.Recorded (#19-42).
1092,891,FerPy,2,FALSE,FALSE,TRUE,200,S,Minute 7 plus.
1093,892,FerPy,1,TRUE,TRUE,TRUE,200,S,Minute 7.
1094,892,FerPy,2,TRUE,TRUE,TRUE,400,NE,Minute 11 plus.
1095,893,Specd,1,FALSE,TRUE,TRUE,400,NW,Minute 7 plus.
1096,893,Specd,2,FALSE,TRUE,TRUE,400,NW,Minute 7 plus.
1097,893,PacSc,3,FALSE,TRUE,FALSE,500,NW,
1098,893,FerPy,4,FALSE,FALSE,TRUE,300,NW,Minute 9.
1099,894,FerPy,1,TRUE,TRUE,FALSE,200,NW,
1100,894,Mottd,2,FALSE,FALSE,TRUE,400,E,Minute 10-12.
1101,896,FerPy,1,TRUE,TRUE,FALSE,400,S,
1102,896,FerPy,2,FALSE,FALSE,TRUE,150,SE,Minute 8.
1103,896,Specd,3,FALSE,FALSE,TRUE,100,W,Minute 10. Recorded (#55-91).
1104,896,Specd,4,FALSE,FALSE,TRUE,100,W,Minute 10. Recorded (#55-91).
1105,896,Mottd,5,FALSE,FALSE,TRUE,200,E,Minute 12.
1106,897,Specd,1,TRUE,TRUE,TRUE,100,N,Minute 5 plus. Same owls as @ prior pt. Recorded (#92-107).
1107,897,Specd,2,TRUE,TRUE,TRUE,100,N,Minute 5 plus. Same owls as @ prior pt. Recorded (#92-107).
1108,897,FerPy,3,TRUE,TRUE,TRUE,300,E,Minute 5 plus.
1109,898,Specd,1,TRUE,TRUE,TRUE,300,N,Moved to 500 meters N minutes 7-12.
1110,898,Specd,2,TRUE,TRUE,TRUE,300,N,Moved to 500 meters N minutes 7-12.
1113,898,FerPy,3,FALSE,FALSE,TRUE,200,W,Minute 8-12.
1114,899,FerPy,1,TRUE,TRUE,TRUE,300,NW,Minute 5 plus.
1115,899,Specd,2,FALSE,FALSE,TRUE,600,N,Minute 7 plus.
1116,899,Specd,3,FALSE,FALSE,TRUE,600,N,Minute 7 plus.
1117,900,FerPy,1,TRUE,TRUE,TRUE,150,NE,Minute 5 plus.
1118,900,Specd,2,FALSE,FALSE,TRUE,700,NW,Minute 8.
1119,901,FerPy,1,FALSE,FALSE,TRUE,200,S,Minute 5 plus.
1120,901,FerPy,2,FALSE,FALSE,TRUE,300,N,Minute 5 plus.
1126,88,PacSc,3,FALSE,FALSE,TRUE,25,N,
1127,53,Specd,1,FALSE,FALSE,TRUE,300,E,
1128,65,Mottd,1,FALSE,FALSE,TRUE,500,S,
1134,97,Mottd,1,TRUE,TRUE,TRUE,350,N,Min. 6
1135,97,Mottd,2,FALSE,FALSE,TRUE,300,NE,Minutes 7&7.5; moved to 20 meters NE @ 12 minutes
1138,903,Mottd,1,FALSE,TRUE,TRUE,500,NE,Min. 6; Called 2 times
1139,903,Mottd,2,FALSE,TRUE,FALSE,300,NE,
